iter	Passed	Remaining
0	53	5251
1	61	3005
2	63	2063
3	66	1598
4	69	1324
5	72	1137
6	75	1002
7	78	902
8	81	822
9	84	758
10	86	699
11	89	654
12	92	616
13	95	585
14	98	558
15	101	531
16	103	507
17	107	488
18	109	468
19	112	450
20	115	434
21	118	419
22	121	405
23	123	392
24	126	379
25	129	369
26	132	358
27	135	348
28	137	335
29	140	327
30	143	319
31	147	314
32	150	306
33	154	299
34	157	291
35	160	284
36	162	277
37	165	270
38	168	263
39	170	255
40	172	248
41	175	241
42	177	235
43	180	229
44	183	224
45	186	218
46	189	213
47	191	207
48	194	202
49	197	197
50	200	192
51	203	187
52	205	182
53	209	178
54	212	173
55	214	168
56	217	163
57	219	158
58	221	154
59	224	149
60	227	145
61	230	141
62	232	136
63	235	132
64	238	128
65	240	124
66	243	119
67	246	115
68	248	111
69	249	106
70	252	102
71	254	99
72	257	95
73	259	91
74	262	87
75	265	83
76	267	79
77	270	76
78	272	72
79	275	68
80	276	64
81	279	61
82	282	57
83	285	54
84	287	50
85	290	47
86	293	43
87	295	40
88	298	36
89	301	33
90	303	30
91	306	26
92	309	23
93	312	19
94	314	16
95	317	13
96	319	9
97	322	6
98	325	3
99	328	0
